,한글이름,영어이름,한글정보,영어정보,한글정보2,영어정보2,한글정보3,영어정보3,아이디,이미지,체력,공격,방어,특수공격,특수방어,스피드,타입
170,초라기,Chinchou,아귀포켓몬,Angler Pokémon,어두운 해저에서는 항상 깜빡거리고 있는 촉수의 빛만이 통신수단이다.,Chinchou blink their shining antennae at one another to claim their respective turf.,어두운 해저에서는 항상 깜빡거리는 촉수의 빛이 유일한 통신 수단이다.,"On the dark ocean floor, its only means of communication is its constantly flashing lights.",170,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,75,38,38,56,56,67,water
171,랜턴,Lanturn,라이트포켓몬,Light Pokémon,심해를 헤엄치는 랜턴의 불빛은 수면까지 다다른다. 심해의 별이라고 불리고 있다.,The light it emits is so bright that it can illuminatethe sea's surface from a depth of over three miles.,강한 빛을 발산해 먹이의 눈을 멀게 한다. 허점을 보이면 전격을 먹인다.,This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.,171,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,125,58,58,76,76,67,water
172,피츄,Pichu,아기쥐포켓몬,Tiny Mouse Pokémon,동료와 꼬리의 끝을 맞추면서 불티를 튀기는 놀이를 한다. 담력 시험을 하고 있는 듯하다.,It is not yet skilled at storing electricity.It may send out a jolt if amused or startled.,볼의 전기 주머니가 작아서 조금이라도 전기가 넘치게 되면 자기 자신이 감전되어 버린다.,"Pichu stores electricity in the sacs on its cheeks but discharges it inadvertently when agitated or excited. Being yet immature, the Pokémon's handling of electricity is rather inept.",172,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,20,40,15,35,35,60,electric
173,삐,Cleffa,별포켓몬,Star Shape Pokémon,별님 같은 실루엣이다. 그 모습 때문에 별똥별을 타고 온다고 여겨진다.,"Because of its unusual, star-like silhouette, peoplebelieve that it came here on a meteor.",실루엣이 별 모양이다. 그 때문에 별똥별을 타고 온다고 여겨진다.,"In silhouette, they resemble twinkling starlight. When shooting stars rain from the night sky, Cleffa gather in numbers and dance as though they are indeed incarnations of the stars.",173,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,50,25,28,45,55,15,fairy
174,푸푸린,Igglybuff,풍선포켓몬,Balloon Pokémon,짧은 다리로 걷는 것보다는 부드러운 몸으로 튀어 오르며 돌아다닌다.,"It has a very soft body. If it starts to roll, it willbounce all over and be impossible to stop.",부드러운 몸으로 통통 튀며 움직인다. 체온이 오르면 몸은 짙은 핑크색이 된다.,"Taking advantage of the softness of its body, Igglybuff moves as if bouncing. Its body turns a deep pink when its temperature rises.",174,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,90,30,15,40,20,15,normal
175,토게피,Togepi,바늘알포켓몬,Spike Ball Pokémon,껍질 안에 행복이 가득 차 있어서 상냥하게 대하면 행운을 나누어 준다고 한다.,The shell seems to be filled with joy. It is saidthat it will share good luck when treated kindly.,행운의 상징이다. 껍질 안에는 행복이 가득 담겨 있다고 한다.,This ovate creature is frequently mistaken for a moving egg when encountered out in the fields or in the mountains. Its guileless smile soothes the soul.,175,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,35,20,65,40,65,20,fairy
176,토게틱,Togetic,행복포켓몬,Happiness Pokémon,상냥한 사람 곁에 있지 않으면 기운이 나지 않게 되어버린다. 날개를 움직이지 않고 뜰 수 있다.,"They say that it will appear before kindhearted, car­ing people and shower them with happiness.",상냥한 사람 곁에 있지 않으면 기운을 내지 못한다. 날개를 움직이지 않고도 공중에 뜰 수 있다.,"No records exist of Togetic being seen in the wilds. Rumors abound that it evolves under the loving care of a trusted human companion, upon whom the Pokémon then bestows great joy.",176,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,55,40,85,80,105,40,fairy
177,네이티,Natu,아기새포켓몬,Tiny Bird Pokémon,날개가 아직 잘 발달하지 못해서 뛰어오르는 것처럼 이동한다. 항상 뭔가를 바라보고 있다.,"Because its wings aren't yet fully grown, it has tohop to get around. It is always star­ ing at something.",날개가 아직 잘 발달하지 못해서 점프하듯 이동한다. 항상 뭔가를 바라보고 있다.,"Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something.",177,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,40,50,45,70,45,70,psychic
178,네이티오,Xatu,정령포켓몬,Mystic Pokémon,선명하게 떠오르는 태양을 조용히 바라보며 기도를 올리면 거의 움직이지 않고 하루가 간다.,They say that it stays still and quiet because itis seeing both the past and future at the same time.,과거와 미래를 내다볼 수 있다. 매일 태양의 움직임을 관찰하는 이상한 포켓몬이다.,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.,178,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,65,75,70,95,70,95,psychic
179,메리프,Mareep,솜털포켓몬,Wool Pokémon,푹신푹신한 털은 정전기가 쌓이면 2배로 부풀어 오른다. 만지면 감전되어 버린다.,"If static elec­ tricity builds in its body, itsfleece doubles in volume. Touching it will shock you.",솜털이 마찰하여 전기가 모인다. 귀엽다고 맨손으로 만지면 따끔하게 저리고 아프다.,"Rubbing its fleece generates electricity. You’ll want to pet it because it’s cute, but if you use your bare hand, you’ll get a painful shock.",179,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,55,40,40,65,45,35,electric
180,보송송,Flaaffy,솜털포켓몬,Wool Pokémon,푹신푹신한 털은 전기를 모으기 쉽지만 고무 같은 피부 덕분에 자신은 마비되지 않는다.,"As a result of storing too much electricity, itdeveloped patches where even downy wool won't grow.",푹신푹신한 털에 전기를 저장한다. 너무 많이 저장해서 여기저기 반질반질하게 털이 빠져 버렸다.,"It stores electricity in its fluffy fleece. If it stores up too much, it will start to go bald in those patches.",180,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,70,55,55,80,60,45,electric
181,전룡,Ampharos,라이트포켓몬,Light Pokémon,꼬리 끝이 빛나며 반짝인다. 빛이 아득히 먼 곳까지 닿아서 길 잃은 자들의 이정표가 된다.,The tail's tip shines brightly and can be seenfrom far away. It acts as a beacon for lost people.,꼬리는 강하고 밝게 빛난다. 뱃사람들의 길잡이로서 옛날부터 소중히 여겨져 왔다.,Its tail shines bright and strong. It has been prized since long ago as a beacon for sailors.,181,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,90,75,85,115,90,55,electric
182,아르코,Bellossom,꽃포켓몬,Flower Pokémon,가끔 아르코가 모여서 춤을 추는 듯한 동작을 보인다. 태양을 부르는 의식이라 전해진다.,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",가끔 아르코가 모여서 춤을 추는 듯한 동작을 한다. 태양을 부르는 의식이라 전해진다.,Bellossom gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,182,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,75,80,95,90,100,50,grass
183,마릴,Marill,물쥐포켓몬,Aqua Mouse Pokémon,전신의 털은 물을 튕겨내는 성질을 지녀 물을 끼얹어도 말라 있다.,"The tip of its tail, which con­ tains oil that islighter than wa­ ter, lets it swim without drowning.",물을 잘 튕겨내는 털은 차가운 바다에 있다가 나와도 금방 말라서 춥지 않다.,"Even after Marill swims in a cold sea, its water- repellent fur dries almost as soon as Marill leaves the water. That’s why this Pokémon is never cold.",183,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,70,20,50,20,50,40,water
184,마릴리,Azumarill,물토끼포켓몬,Aqua Rabbit Pokémon,긴 귀는 우수한 센서다. 강바닥에서 움직이는 생명체의 소리를 분간할 수 있다.,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.,공기로 가득 찬 거품을 만든다. 루리리가 강에서 놀 때는 이 거품으로 감싸준다.,"These Pokémon create air-filled bubbles. When Azurill play in rivers, Azumarill will cover them with these bubbles.",184,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,100,50,80,60,80,50,water
185,꼬지모,Sudowoodo,흉내포켓몬,Imitation Pokémon,항상 나무인 척하고 있다. 몸의 구조는 식물보다 돌이나 바위에 가까운 듯하다.,"Although it always pretends to be a tree, its composi­tion appears to be closer to a rock than a plant.",습격당하지 않도록 나무 흉내를 낸다. 물에 약하기 때문에 비가 내리면 어느 틈에 모습을 감춰버린다.,"Though it pretends to be a tree, it fails to fool even children. To the touch, its body feels more like rock than tree bark. Sudowoodo's extreme aversion to water merits special note.",185,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,70,100,115,30,65,30,rock
186,왕구리,Politoed,개구리포켓몬,Frog Pokémon,3마리 이상 왕구리가 모이면 반드시 고함치는 듯한 울음소리로 합창하기 시작한다.,"If POLIWAG and POLIWHIRL hear its echoing cry, theyrespond by gather­ ing from far and wide.",수컷의 울음소리가 더 크다. 나지막하고 위협적인 목소리로 우는 왕구리가 암컷에게 인기다.,"The cry of a male is louder than that of a female. Male Politoed with deep, menacing voices find more popularity with the opposite gender.",186,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,90,75,75,90,100,70,water
187,통통코,Hoppip,솜풀포켓몬,Cottonweed Pokémon,매우 가벼운 몸을 가졌다. 바람에 날아가지 않도록 단단히 지면을 밟아 지탱하고 있다.,"To keep from being blown away by the wind, they gatherin clusters. They do enjoy gentle breezes, though.",바람을 타고 둥둥 떠다니는 포켓몬이다. 강풍의 기척을 느끼면 동료끼리 잎사귀를 휘감아 날아가지 않도록 준비한다.,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",187,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,35,35,40,35,55,50,grass
188,두코,Skiploom,솜풀포켓몬,Cottonweed Pokémon,머리 위에 핀 꽃은 기온에 따라 펴지거나 오므라드는 성질을 가졌다.,The bloom on top of its head opens and closes as thetemperature fluc­ tuates up and down.,기온이 18도를 넘으면 꽃이 핀다. 온도에 따라 꽃이 피는 모습이 바뀌어서 온도계 대신 쓰기도 한다.,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",188,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,55,45,50,45,65,80,grass
189,솜솜코,Jumpluff,솜풀포켓몬,Cottonweed Pokémon,계절풍에 날려서 세계 일주를 해 버린다. 도중에 솜 포자를 흩뿌린다.,"Once it catches the wind, it deft­ ly controls itscotton-puff spores to float, even around the world.",따뜻한 남풍을 타고 바다를 건너 외국까지 날아가는 포켓몬이다. 차가운 공기에 닿으면 땅에 내려온다.,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,189,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,75,55,70,55,95,110,grass
190,에이팜,Aipom,긴꼬리포켓몬,Long Tail Pokémon,높은 나무 위에서 살고 있다. 나뭇가지에서 가지로 건너뛸 때 꼬리로 능숙하게 밸런스를 잡는다.,Its tail is so powerful that it can use it to graba tree branch and hold itself up in the air.,나무 위에서 먹이를 찾는다. 좋아하는 달콤아를 발견하면 흥분해서 덤벼든다.,This treetop dweller possesses a tail as dexterous as a hand. Ancient writings describe this Pokémon as a one-armed oddity.,190,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,55,70,55,40,55,85,normal
191,해너츠,Sunkern,씨앗포켓몬,Seed Pokémon,어느 날 아침 갑자기 떨어진다. 깨비참에게 습격당하면 잎사귀를 세차게 흔들어서 쫓아 버린다.,"It may drop out of the sky suddenly. If attacked by aSPEAROW, it will violently shake its leaves.",몸에 모은 영양을 진화할 때까지 간직하기 위해 거의 움직이려 하지 않는다. 아무것도 먹지 않고 아침 이슬만 마시고 있다.,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",191,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,30,30,30,30,30,30,grass
192,해루미,Sunflora,태양포켓몬,Sun Pokémon,더운 계절이 다가오면 얼굴의 꽃잎이 선명해지고 활발하게 움직이게 된다.,"It converts sun­ light into energy. In the darknessafter sunset, it closes its petals and becomes still.",태양 에너지에서 영양을 만들어낸다. 기온이 높은 낮에는 활발하게 움직이고 태양이 지면 뚝 하니 움직이지 않게 된다.,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,192,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,75,75,55,105,85,30,grass
193,왕자리,Yanma,얇은날개포켓몬,Clear Wing Pokémon,얼굴을 움직이지 않고 360도 전부 볼 수 있는 눈을 가지고 있어서 바로 뒤의 먹이도 놓치지 않는다.,"If it flaps its wings really fast, it can generateshock waves that will shatter win­ dows in the area.",눈알을 움직이지 않고 360도를 볼 수 있다. 급브레이크나 방향 전환이 특기다. 노린 먹이를 빠르게 몰아넣는다.,"Its frail wings are so thin that one can see clear through them. However, during flight these wings exhibit the power to churn air with force enough to launch a house skyward.",193,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,65,65,45,75,45,95,bug
194,우파,Wooper,수어포켓몬,Water Fish Pokémon,차가운 물속에서 생활한다. 근처가 선선해지면 먹이를 찾으러 지상에도 나타난다.,This POKéMON lives in cold water. It will leave thewater to search for food when it gets cold outside.,지상에서 걸을 때는 피부가 건조해지지 않도록 독성분의 점막으로 몸을 감싸고 있다.,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating.",194,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,55,45,45,25,25,15,water
195,누오,Quagsire,수어포켓몬,Water Fish Pokémon,느긋한 성격이다. 강바닥에서 입을 벌려 먹이가 들어오는 것을 한결같이 기다린다.,"This carefree POKéMON has an easy-going nature.While swimming, it always bumps into boat hulls.",몸은 항상 미끄럽다. 헤엄칠 때마다 강바닥에 머리를 부딪치지만 신경 쓰지 않는다.,Its body is always slimy. It often bangs its head on the river bottom as it swims but seems not to care.,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,95,85,85,65,65,35,water
196,에브이,Espeon,태양포켓몬,Sun Pokémon,상대의 움직임을 예지할 때 두 갈래로 갈라져 있는 꼬리의 끝이 미세하게 떨리고 있다.,It uses the fine hair that covers its body to senseair currents and predict its ene­ my's actions.,이마의 구슬에서 사이코 파워를 방사해서 싸운다. 파워가 다하면 구슬의 색이 흐려진다.,"Wields an arcane power with which it can predict the weather and even people's thoughts. When bathed in sunshine, the scarlet orb on its brow glows and builds energy.",196,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,65,65,60,130,95,110,psychic
197,블래키,Umbreon,달빛포켓몬,Moonlight Pokémon,달빛이 이브이의 유전자를 변화시켰다. 어둠에 숨어 먹이를 기다린다.,"When agitated, this POKéMON pro­ tects itself byspraying poisonous sweat from its pores.",보름달이 뜬 밤이나 흥분했을 때 전신의 고리 무늬가 노랗게 빛난다.,"It is most active in the wee hours of the night, when moonlight bathes the land. Its large eyes can pierce the darkness and perceive prey with absolute clarity.",197,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,95,65,110,60,130,65,dark
198,니로우,Murkrow,어둠포켓몬,Darkness Pokémon,반짝이는 물건을 주워 비밀 장소에 숨겨 둔다. 나옹과 자주 쟁탈전을 벌인다.,"Feared and loathed by many, it is believed to bringmisfortune to all those who see it at night.",보스를 위해 반짝반짝 빛나는 것을 찾고 있다. 불길한 존재로 여겨 몹시 싫어하는 사람도 많다.,"Widely shunned as a bearer of ill fortune. Upon crossing paths with this creature, I've been told one must chant ”Workrum, Workrum—bad luck, don't come” as a protective incantation.",198,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,60,85,42,85,42,91,dark
199,야도킹,Slowking,임금포켓몬,Royal Pokémon,대단한 지성과 번뜩이는 재치를 가지고 있다. 어떤 때라도 당황하거나 소란 피우지 않고 느긋하게 있다.,"It has incredible intellect and in­ tuition. Whateverthe situation, it remains calm and collected.",아무리 어려운 문제를 물어봐도 모두 해결해주지만 그 누구도 야도킹의 말을 이해하지 못한다.,"Slowking can solve any problem presented to it, but no one can understand a thing Slowking says.",199,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,95,75,80,100,110,30,water
200,무우마,Misdreavus,야명포켓몬,Screech Pokémon,무서워하는 마음을 빨간 구슬로 흡수해 영양분으로 만든다. 낮에는 어두운 곳에서 잠자고 있다.,It likes playing mischievous tricks such as screamingand wailing to startle people at night.,사람이 울부짖는 소리를 흉내 내 모두를 겁주고 기뻐한다. 담력이 강한 상대는 좋아하지 않는다.,"It conceals itself in darkness, sending chills up travelers' spines with its childlike weeping. As it observes the frightened travelers with glee, the red orbs upon its chest let off an eerie light.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,60,60,60,85,85,85,ghost
201,안농,Unown,심볼포켓몬,Symbol Pokémon,몸 자체는 굉장히 얇고 항상 벽에 들러붙어 있다. 모습에는 뭔가 의미가 있는 듯하다.,Their shapes look like hieroglyphs on ancient tab­lets. It is said that the two are somehow related.,고대 문자를 닮은 모습의 포켓몬이다. 먼저 생겨난 것은 문자인가 안농인가. 연구 중이지만 아직도 수수께끼다.,It is hard to believe these strangely shaped Pokémon are truly living creatures. I've pointed out that the species' many forms resemble writing from other lands; no one will take me seriously.,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,48,72,48,72,48,48,psychic
202,마자용,Wobbuffet,참기포켓몬,Patient Pokémon,빛과 쇼크를 싫어한다. 공격받으면 몸이 부풀어 올라 반격이 강력해진다.,"It hates light and shock. If attack­ ed, it inflatesits body to pump up its counter­ strike.",새까만 꼬리를 숨기기 위해 어둠 속에서 은밀히 지내고 있다. 자신이 먼저 공격하는 일은 없다.,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack.",202,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,190,33,58,33,58,33,psychic
203,키링키,Girafarig,긴목포켓몬,Long Neck Pokémon,잠자는 동안 꼬리의 머리가 주위를 망보고 있다. 꼬리는 잠을 잘 필요가 없다.,"Its tail has a small brain of its own. Beware! Ifyou get close, it may react to your scent and bite.",꼬리의 뇌는 생각을 할 수 없을 정도로 작지만 자지 않아도 괜찮아서 24시간 주변을 계속 망보고 있다.,"Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.",203,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,70,80,65,90,65,85,normal
204,피콘,Pineco,도롱이벌레포켓몬,Bagworm Pokémon,나무껍질을 짜 맞춰서 껍질을 두껍게 하는 것을 좋아한다. 무거워져도 신경 쓰지 않는다.,It likes to make its shell thicker by adding layersof tree bark. The additional weight doesn't bother it.,나무껍질을 타액으로 붙여서 몸을 두껍고 크게 만든다. 나이를 먹은 피콘은 엄청나게 크다.,"It sticks tree bark to itself with its saliva, making itself thicker and larger. Elderly Pineco are ridiculously huge.",204,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,50,65,90,35,35,15,bug
205,쏘콘,Forretress,도롱이벌레포켓몬,Bagworm Pokémon,강철 껍질이 몸을 보호하고 있다. 틈새에서 엿보고 있는 눈이 있지만 내용물의 정체는 수수께끼다.,Its entire body is shielded by a steel-hard shell.What lurks inside the armor is a total mystery.,먹이를 삼키는 순간에는 껍질 안의 모습이 나타나지만 그 모습을 본 자는 아직 없다.,"In the moment that it gulps down its prey, the inside of its shell is exposed, but to this day, no one has ever seen that sight.",205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,75,90,140,60,60,40,bug
206,노고치,Dunsparce,땅뱀포켓몬,Land Snake Pokémon,누군가에게 들키면 꼬리로 땅을 파서 뒤쪽으로 도망친다.,"When spotted, this POKéMON escapes backward by furi­ously boring into the ground with its tail.",미로 같은 굴에 산다. 흙냄새로 자신이 있는 곳을 알 수 있어 절대 길을 잃지 않는다.,The nests Dunsparce live in are mazes of tunnels. They never get lost in their own nests—they can tell where they are by the scent of the dirt.,206,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,100,70,70,65,65,45,normal
207,글라이거,Gligar,날전갈포켓몬,Fly Scorpion Pokémon,보통은 벼랑에 붙어 있다. 먹이를 발견하면 날개를 펼쳐 바람을 타고 날아 덮친다.,It flies straight at its target's face then clampsdown on the star­ tled victim to inject poison.,소리 내지 않고 미끄러지듯 활공한다. 양손의 커다란 손톱과 발의 발톱으로 먹이의 얼굴에 달라붙어 독침을 찌른다.,"Its tail is tipped by a thick, horrible stinger. To bring down prey, it will first obscure their vision by covering their faces with its body, and then it will use the stinger to inject them with venom.",207,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,65,75,105,35,65,85,ground
208,강철톤,Steelix,철뱀포켓몬,Iron Snake Pokémon,땅속의 높은 압력과 열로 단련된 몸은 어떠한 금속보다도 단단하다.,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.,흙과 함께 삼킨 강철이 축적되어 몸이 변화한 것이라 여겨지고 있다.,This Pokémon evolved through use of a strange item. Its body is coated with steel powder and notably hard—not even diamond can leave so much as a scratch.,208,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,75,85,200,55,65,30,steel
209,블루,Snubbull,요정포켓몬,Fairy Pokémon,활발하고 노는 것을 좋아하는 성격. 잘 따르기 때문에 함께 놀고 싶어 하는 여성들이 많다.,"Although it looks frightening, it is actually kind andaffectionate. It is very popular among women.",겉보기와 다르게 겁쟁이라 다른 강아지포켓몬과 함께 있으면 괴롭힘을 당할 때도 있다.,"In contrast to its appearance, it’s quite timid. When playing with other puppy Pokémon, it sometimes gets bullied.",209,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,60,80,50,40,40,30,fairy
210,그랑블루,Granbull,요정포켓몬,Fairy Pokémon,얼굴에 어울리지 않게 겁이 많다. 그러나 한번 화내기 시작하면 큰 이빨로 반격한다.,"It is actually timid and easily spooked. If at­tacked, it flails about to fend off its attacker.",젊은 여성에게 인기가 많지만 겁쟁이인데다가 섬세하기 때문에 지킴이로는 무능하다.,"Although it’s popular with young people, Granbull is timid and sensitive, so it’s totally incompetent as a watchdog.",210,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,90,120,75,60,60,45,fairy
211,침바루,Qwilfish,풍선포켓몬,Balloon Pokémon,전신의 독침을 날리기 위해 10리터의 물을 단번에 마시고 몸을 부풀린다.,"To fire its poison spikes, it must inflate its bodyby drinking over 2.6 gallons of water all at once.",전신의 작은 바늘은 비늘이 변화한 것이다. 찔리면 독 때문에 정신을 잃게 된다.,"Fishers detest this troublesome Pokémon because it sprays poison from its spines, getting it everywhere. A different form of Qwilfish lives in other regions.",211,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,65,95,85,55,55,85,water
212,핫삼,Scizor,집게포켓몬,Pincer Pokémon,강철이 함유된 집게로 잡은 것은 아무리 딱딱해도 산산조각이 난다.,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.,몸은 가늘지만 공격력은 무시무시하다. 몸의 근육도 금속으로 되어 있다.,Evolved by way of a curious item. The shell covering its body has been shown to be stronger than forged steel.,212,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,70,130,100,55,80,65,bug
213,단단지,Shuckle,발효포켓몬,Mold Pokémon,항아리 같은 등껍질 속에 모은 나무열매는 어느샌가 걸쭉한 주스로 변한다.,The BERRIES it stores in its vase-like shelldecompose and become a gooey liquid.,항아리 같은 등껍질 속에 모은 나무열매는 어느샌가 걸쭉한 주스로 변한다.,"The berries stored in its vaselike shell eventually become a thick, pulpy juice.",213,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,20,10,230,10,230,5,bug
214,헤라크로스,Heracross,외뿔포켓몬,Single Horn Pokémon,자랑스러운 뿔을 상대의 배 밑에 틀어박고 단번에 들어 올려 집어 던지는 천하장사다.,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn.",자신 몸무게의 100배에 달하는 무게도 거뜬히 들어 올리는 괴력을 자랑하는 포켓몬이다.,This Pokémon has an unparalleled horn. Heracross itself demonstrates tremendous power—it's capable of throwing several people trained in the traditional arts of war at once.,214,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,80,125,75,40,95,85,bug
215,포푸니,Sneasel,갈고리손톱포켓몬,Sharp Claw Pokémon,거처에서 알을 가로채어 먹어 버린다. 날카로운 갈고리 손톱이 상대의 급소를 베어 가른다.,"Its paws conceal sharp claws. If attacked, it sud­denly extends the claws and startles its enemy.",교활하고 사나운 성질을 가졌다. 부모가 없는 틈에 둥지로 침입해서 알을 훔친다.,"Its sturdy, curved claws are ideal for traversing precipitous cliffs. From the tips of these claws drips a venom that infiltrates the nerves of any prey caught in Sneasel's grasp.",215,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,55,95,55,35,75,115,dark
216,깜지곰,Teddiursa,아기곰포켓몬,Little Bear Pokémon,꿀을 발견하면 초승달 모양이 빛난다. 달콤한꿀이 배어든 손바닥을 항상 핥고 있다.,"If it finds honey, its crescent mark glows. It alwayslicks its paws because they are soaked with honey.",꿀이 밴 손바닥을 핥고 있다. 깜지곰의 꿀은 과일과 독침붕이 모은 꽃가루가 혼합되어 만들어진다.,"It licks its paws because of the sweet honey that has soaked into them. It is cunning, stealing into the nests of Combee and taking for itself the honey that the Combee have amassed.",216,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,60,80,50,50,50,40,normal
217,링곰,Ursaring,동면포켓몬,Hibernator Pokémon,어떠한 냄새라도 구별할 수 있다. 땅속 깊이 파묻혀 있는 먹이도 남김없이 찾아낸다.,"Although it is a good climber, it prefers to snaptrees with its forelegs and eat fallen BERRIES.",숲 속에는 링곰이 먹이를 수집하는 큰 나무나 시냇가가 여기저기에 있다고 한다. 매일 먹이를 모으며 숲을 걷는다.,"When the cold season arrives in Hisui, this Pokémon will wander fields and mountains alike in search of its favorite berries. Ursaring's hunger during this time makes it a ferocious danger.",217,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,90,130,75,75,75,55,normal
218,마그마그,Slugma,용암포켓몬,Lava Pokémon,화산 지대에 많이 나타난다. 따뜻한 곳을 찾아서 느릿느릿 기어 다니고 있다.,"It never sleeps. It has to keep moving because ifit stopped, its magma body would cool and harden.",몸 안에는 혈액 대신 필요한 영양과 산소를 운반하기 위해 작열하는 마그마가 순환되고 있다.,"Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon’s body, carrying essential nutrients and oxygen to its organs.",218,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,40,40,40,70,40,20,fire
